gene_symbol	module_id	module_class	sensor_family	activation_tier	scoring_direction	cell_type_breadth	detectability	also_in_module	doi	aliases	sensor	panel_source
AIM2	NASP_DNA_SENSING	dna_sensing_core	ALR	Early	positive	Immune-enriched	low		10.1038/ni.1702		dna_sensor	
CGAS	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Early	positive	Broad	low		10.1126/science.1229963	MB21D1	dna_sensor	
DDX41	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Early	positive	Immune-enriched	low		10.1038/ni.2091		dna_sensor; rna_sensor	
DHX36	NASP_DNA_SENSING	dna_sensing_core	RLR	Early	positive	Immune-enriched	medium	NASP_RNA_SENSING	10.1038/s41467-019-10432-5		dna_sensor; rna_sensor	
DHX9	NASP_DNA_SENSING	dna_sensing_core	RLR	Early	positive	Immune-enriched	medium		10.4049/jimmunol.1101307		dna_sensor; rna_sensor	
HNRNPA2B1	NASP_DNA_SENSING	dna_sensing_core		Early	positive	Broad	high		10.1126/science.aav0758		dna_sensor; rna_sensor	
IFI16	NASP_DNA_SENSING	dna_sensing_alr	ALR	Early	positive	Broad	high	INFLAMMASOME	10.1038/ni.1932		dna_sensor	
JMJD6	NASP_DNA_SENSING	sensing_checkpoint	cGAS-STING	Active	positive	Broad	medium		10.1126/science.aav0758	confirmed		
KAT5	NASP_DNA_SENSING	sensing_checkpoint	cGAS-STING	Early	positive	Broad	low		10.1073/pnas.1922330117			
LMNB1	NASP_DNA_SENSING	dna_sensing_ccf	cGAS-STING	Early	inverse	Broad	medium	SENESCENCE	10.1038/nature24050			
LRRFIP1	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Early	positive	Broad	high		10.1038/ni.1876		dna_sensor; rna_sensor	
LSM14A	NASP_DNA_SENSING	dna_sensing_cosensor		Early	positive	Broad	high		10.1073/pnas.1203405109	RAPS5		
METTL3	NASP_DNA_SENSING	dna_sensing_endosomal	TLR	Active	positive	Broad	low		10.1016/j.jbc.2024.107226			
MNDA	NASP_DNA_SENSING	dna_sensing_alr	ALR	Active	positive	Immune-enriched	high		10.3389/fimmu.2024.1395035			
MRE11	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Early	positive	Broad	low		10.1073/pnas.1222694110	MRE11A	dna_damage_sensor	
PCBP1	NASP_DNA_SENSING	dna_sensing_cosensor	cGAS-STING	Active	positive	Broad	high		10.1038/s41423-020-0462-3			
POLR3A	NASP_DNA_SENSING	dna_sensing_core		Early	positive	Broad	low		10.1016/j.cell.2009.06.015	RPC1		
POLR3B	NASP_DNA_SENSING	dna_sensing_core		Early	positive	Broad	low		10.1016/j.cell.2009.06.015	RPC2		
PPT1	NASP_DNA_SENSING	dna_sensing_endosomal	TLR	Active	positive	Broad	medium		10.1038/s41467-023-43650-z			
PQBP1	NASP_DNA_SENSING	dna_sensing_cosensor	cGAS-STING	Early	positive	Broad	medium		10.1016/j.cell.2015.04.050		dna_sensor	
PRKDC	NASP_DNA_SENSING	dna_sensing_core		Early	positive	Broad	high		10.7554/eLife.00047	DNA-PK	dna_sensor	
PYHIN1	NASP_DNA_SENSING	dna_sensing_alr	ALR	Early	positive	Broad	medium		10.15252/msb.20145808	IFIX	dna_sensor	
RAD50	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Early	positive	Broad	medium		10.1038/s41586-023-06889-6		dna_sensor	
RPSA	NASP_DNA_SENSING	dna_sensing_core		Early	positive	Broad	high		10.1038/s41467-023-43784-0		dna_sensor; rna_sensor	
SLFN11	NASP_DNA_SENSING	dna_sensing_core		Active	positive	Broad	low		10.1126/sciimmunol.adj5465		dna_sensor	
STING1	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Early	positive	Broad	medium		10.1038/nature07317	TMEM173		
TLR9	NASP_DNA_SENSING	dna_sensing_endosomal	TLR	Early	positive	Immune-enriched	low	IFN_I_OUTPUT	10.1038/35047123		dna_sensor	
TOP1	NASP_DNA_SENSING	dna_sensing_core	cGAS-STING	Active	positive	Broad	high		10.1038/s41467-020-14652-y			
TRIM14	NASP_DNA_SENSING	ubiquitin_regulation	cGAS-STING	Active	positive	Broad	medium		10.1016/j.molcel.2016.08.025			
XRCC5	NASP_DNA_SENSING	dna_sensing_cosensor	cGAS-STING	Early	positive	Broad	high		10.7554/eLife.00047		dna_sensor	
XRCC6	NASP_DNA_SENSING	dna_sensing_cosensor	cGAS-STING	Early	positive	Broad	high		10.1111/imm.13318	ku70	dna_sensor	
YTHDF1	NASP_DNA_SENSING	dna_sensing_endosomal	TLR	Active	positive	Immune-enriched	low		10.1016/j.jbc.2024.107226			
ZBP1	NASP_DNA_SENSING	dna_sensing_core	ZBP1	Early	positive	Broad	low	IFN_I_OUTPUT	10.1038/nature06013		dna_sensor; rna_sensor	
ZCCHC3	NASP_DNA_SENSING	dna_sensing_cosensor	cGAS-STING	Early	positive	Broad	low		10.1038/s41467-018-05559-w		dna_sensor	
ZYG11B	NASP_DNA_SENSING	dna_sensing_cosensor	cGAS-STING	Early	positive	Broad	high		10.1016/j.celrep.2023.112278			
DDX1	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	medium		10.1016/j.immuni.2011.03.027	 	rna_sensor	
DDX21	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	high		10.1016/j.bbrc.2016.03.120		rna_sensor	
DDX41	NASP_RNA_SENSING	rna_sensing_core	cGAS-STING	Early	positive	Immune-enriched	low		10.1038/ni.2091		dna_sensor; rna_sensor	
DDX58	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	high		10.1038/ni1087	RIGI; RIG-I	rna_sensor	
DDX6	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	high		10.3390/ijms19071877		rna_sensor	
DDX60	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	medium	IFN_I_OUTPUT	10.1128/MCB.01368-10			
DDX60L	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	high		10.1128/JVI.01297-15		rna_sensor	
DHX16	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	low		10.1016/j.celrep.2022.110434		rna_sensor	
DHX33	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	low		10.1016/j.immuni.2013.07.001		rna_sensor	
DHX36	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Immune-enriched	medium	NASP_RNA_SENSING	10.1038/s41467-019-10432-5		dna_sensor; rna_sensor	
DHX58	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	low		10.1073/pnas.0606699104	LGP2	rna_sensor	
DHX9	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Immune-enriched	medium		10.4049/jimmunol.1101307		dna_sensor; rna_sensor	
EIF2AK2	NASP_RNA_SENSING	rna_sensing_core	PKR	Early	positive	Broad	high	NASP_RNA_SENSING	10.1073/pnas.75.3.1121		rna_sensor	
HNRNPA2B1	NASP_RNA_SENSING	rna_sensing_core		Early	positive	Broad	high		10.1126/science.aav0758		dna_sensor; rna_sensor	
IFIH1	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	medium		10.1038/nature04734	MDA5	rna_sensor	
ITPRIP	NASP_RNA_SENSING	sensing_checkpoint	RLR	Active	positive	Broad	medium		10.1128/jvi.00507-18			
KDM1A	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	medium		10.1371/journal.ppat.1009918	LSD1		
LRRFIP1	NASP_RNA_SENSING	rna_sensing_core	cGAS-STING	Early	positive	Broad	high		10.1038/ni.1876		dna_sensor; rna_sensor	
LYST	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Active	positive	Broad	high		10.1084/jem.20141461			
MAVS	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	low		10.1016/j.cell.2005.08.012			
MEX3C	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	medium		10.1073/pnas.1401674111			
NLRP1	NASP_RNA_SENSING	rna_sensing_core	NLR	Early	positive	Immune-enriched	medium	NASP_RNA_SENSING	10.1126/science.abd0811		rna_sensor	
NOD2	NASP_RNA_SENSING	rna_sensing_core	NLR	Active	positive	Immune-enriched	low		10.1038/mi.2011.29		rna_sensor	
OAS1	NASP_RNA_SENSING	rna_sensing_core	OAS	Early	positive	Broad	medium	NASP_RNA_SENSING	10.1073/pnas.1218528110		rna_sensor	
OAS2	NASP_RNA_SENSING	rna_sensing_core	OAS	Early	positive	Broad	medium	NASP_RNA_SENSING	10.1089/jir.2023.0098		rna_sensor	
OAS3	NASP_RNA_SENSING	rna_sensing_core	OAS	Early	positive	Broad	low	NASP_RNA_SENSING	10.1089/jir.2023.0098		rna_sensor	
PARP9	NASP_RNA_SENSING	rna_sensing_core	Noncanonical_RNA	Active	positive	Immune-enriched	medium		10.1038/s41467-021-23003-4			
PPP1CA	NASP_RNA_SENSING	sensing_checkpoint	RLR	Early	positive	Broad	high		10.1016/j.immuni.2012.11.018	PP1α		
PPP1CC	NASP_RNA_SENSING	sensing_checkpoint	RLR	Early	positive	Broad	high		10.1016/j.immuni.2012.11.018	PP1γ		
PPP1R12C	NASP_RNA_SENSING	sensing_checkpoint	RLR	Active	positive	Broad	medium		10.1016/j.cell.2022.08.011	AAVS1		
RNASE2	NASP_RNA_SENSING	rna_restriction	TLR	Early	positive	Immune-enriched	low		10.1016/j.immuni.2020.03.009			
RNASET2	NASP_RNA_SENSING	rna_restriction	TLR	Early	positive	Broad	high		10.1016/j.cell.2019.11.001			
RNF135	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	low		10.1074/jbc.M804259200			
RPSA	NASP_RNA_SENSING	rna_sensing_core		Early	positive	Broad	high		10.1038/s41467-023-43784-0		dna_sensor; rna_sensor	
SIDT1	NASP_RNA_SENSING	rna_sensing_endosomal	RLR	Active	positive	Broad	medium		10.4049/jimmunol.1801369			
SIDT2	NASP_RNA_SENSING	rna_sensing_endosomal	RLR	Active	positive	Broad	low		10.1016/j.immuni.2017.08.007			
SLC15A4	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Early	positive	Immune-enriched	low		10.1073/pnas.1014051107			
TASL	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Early	positive	Immune-enriched	low		10.1016/j.celrep.2023.112916			
TLR3	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Early	positive	Immune-enriched	low	IFN_I_OUTPUT	10.1038/35099560		rna_sensor	
TLR7	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Early	positive	Immune-enriched	low	IFN_I_OUTPUT	10.1126/science.1093620		rna_sensor	
TLR8	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Early	positive	Immune-enriched	low	NFKB_CYTOKINE_OUTPUT|IFN_I_OUTPUT	10.1126/science.1093620		rna_sensor	
TRIM25	NASP_RNA_SENSING	rna_sensing_core	RLR	Early	positive	Broad	medium		10.1126/science.ads4539			
TRIM4	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	medium		10.1093/jmcb/mju005			
XIST	NASP_RNA_SENSING	rna_sensing_endosomal	TLR	Early	Positive	Broad	high		10.1172/jci.insight.169344			
YWHAE	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	high		10.1016/j.chom.2012.04.006	14-3-3ε		
YWHAH	NASP_RNA_SENSING	rna_sensing_core	RLR	Active	positive	Broad	high		10.1371/journal.ppat.1007582	14-3-3η		
ZBP1	NASP_RNA_SENSING	rna_sensing_core	ZBP1	Early	positive	Broad	low	IFN_I_OUTPUT	10.1038/nature06013		dna_sensor; rna_sensor	
ZC3HAV1	NASP_RNA_SENSING	rna_sensing_core		Early	positive	Broad	high		10.1038/s42003-024-07116-2	ZAP; PARP13	rna_sensor	
BAK1	MITOCHONDRIAL_NA_SENSING	mtdna_release	cGAS-STING	Early	positive	Broad	low		10.1038/s41586-023-06621-4			
BAX	MITOCHONDRIAL_NA_SENSING	mtdna_release	cGAS-STING	Early	positive	Broad	high		10.1038/s41586-023-06621-4			
CMPK2	MITOCHONDRIAL_NA_SENSING	mt_na_biogenesis	cGAS-STING	Active	positive	Broad	low	IFN_I_OUTPUT	10.1038/s41586-018-0372-z			
MT-ATP8	MITOCHONDRIAL_NA_SENSING	mt_na_substrate	cGAS-STING	Active	positive	Broad	high		10.1038/s41467-024-51363-0			
MT-ND1	MITOCHONDRIAL_NA_SENSING	mt_na_substrate	RLR	Active	positive	Broad	high		10.1038/s41467-024-51363-0			
MT-ND6	MITOCHONDRIAL_NA_SENSING	mt_na_substrate	RLR	Active	positive	Broad	high		10.1038/s41467-024-51363-0			
PNPT1	MITOCHONDRIAL_NA_SENSING	mt_na_restraint	cGAS-STING	Early	inverse	Broad	medium		10.1038/s41586-018-0363-0			
POLRMT	MITOCHONDRIAL_NA_SENSING	mt_na_biogenesis	cGAS-STING	Active	positive	Broad	low		10.1016/j.celrep.2022.111178			
PPIF	MITOCHONDRIAL_NA_SENSING	mtdna_release	cGAS-STING	Early	positive	Broad	high		10.1038/s41580-021-00433-y			
REXO2	MITOCHONDRIAL_NA_SENSING	mt_na_restraint	cGAS-STING	Early	inverse	Broad	medium		10.1093/nar/gkaa302			
TFAM	MITOCHONDRIAL_NA_SENSING	mt_na_restraint	cGAS-STING	Early	inverse	Broad	medium	AGING_HALLMARKS	10.1038/nature14156			
VDAC1	MITOCHONDRIAL_NA_SENSING	mtdna_release	cGAS-STING	Early	positive	Broad	high		10.1126/science.aav4011			
VDAC2	MITOCHONDRIAL_NA_SENSING	mtdna_release	cGAS-STING	Early	positive	Broad	high		10.1126/science.aav4011			
VDAC3	MITOCHONDRIAL_NA_SENSING	mtdna_release	cGAS-STING	Early	positive	Broad	medium		10.1126/science.aav4011			
YME1L1	MITOCHONDRIAL_NA_SENSING	mt_na_restraint	cGAS-STING	Early	inverse	Broad	high		10.1038/s42255-021-00385-9			
DUSP1	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	high		10.1042/BST0341018			
NFKBIA	NASP_FEEDBACK	induced_negative_regulator		Early	positive	Broad	high	SENESCENCE|SASP|SIGNALING_CONTEXT | NFKB_CYTOKINE_OUTPUT	10.1101/cshperspect.a000034			
SOCS1	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Immune-enriched	medium		10.1038/s41467-018-04013-1			
SOCS3	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	high		10.1161/ATVBAHA.110.207464			
TNFAIP3	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	high	NFKB_CYTOKINE_OUTPUT	10.1182/blood-2008-08-174110			
USP18	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	low		10.1042/BSR20180250			
ZFP36	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	high		10.1126/science.281.5379.1001			
AARS1	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Active	positive	Broad	medium		10.1038/s41586-024-07992-y		l_lactate_sensor	
AARS2	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Active	positive	Broad	low		10.1038/s41586-024-07992-y		l_lactate_sensor	
ADAR	NASP_RESTRICTION	rna_restriction	RLR	Early	positive	Broad	high		10.1126/science.aac7049			
APOBEC3A	NASP_RESTRICTION	te_restriction_factor	RLR	Early	positive	Immune-enriched	medium		10.1093/nar/gkj416			
APOBEC3B	NASP_RESTRICTION	te_restriction_factor	RLR	Early	positive	Immune-enriched	low		10.1093/nar/gkj416			
ATF7IP	NASP_RESTRICTION	te_silencing		Active	positive	Broad	high		10.1093/nar/gkae1165	MCAF1		
ATG9A	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Early	inverse	Broad	low		10.1073/pnas.0911267106			
AURKA	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Active	positive	Broad	low		10.1172/JCI161929			
BNIP3	NASP_RESTRICTION	mitophagy_restraint	cGAS-STING	Active	positive	Broad	high		10.1083/jcb.202408166			
BNIP3L	NASP_RESTRICTION	mitophagy_restraint		Active	positive	Broad	high		10.1038/nature07006	Nix		
C1QBP	NASP_RESTRICTION	induced_negative_regulator	RLR	Active	positive	Broad	high		10.1073/pnas.0811029106			
CDK1	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Active	positive	Broad	medium		10.1038/s41421-020-0162-2			
DDX46	NASP_RESTRICTION	sensing_checkpoint	RLR	Active	positive	Broad	medium		10.1038/ni.3830			
DDX46	NASP_RESTRICTION	rna_restriction	RLR	Active	positive	Broad	medium		10.1038/ni.3830			
DNASE1L3	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Liver/Immune-enriched	medium		10.3389/fimmu.2021.629922			
DNASE2	NASP_RESTRICTION	dna_restriction	cGAS-STING	Early	positive	Broad	low		10.1038/s41467-017-01932-3			
DNMT1	NASP_RESTRICTION	te_silencing	Multi	Early	positive	Broad	medium		10.1038/s41594-021-00603-8			
DNMT3A	NASP_RESTRICTION	te_silencing		Active	positive	Broad	medium		10.1038/2413			
ENPP1	NASP_RESTRICTION	cgamp_hydrolase	cGAS-STING	Active	positive	Broad	low		10.1073/pnas.2119189119			
FARSA	NASP_RESTRICTION	rna_restriction	PKR	Early	positive	Broad	low		10.1016/j.molcel.2026.04.030			
HDAC1	NASP_RESTRICTION	te_silencing		Active	positive	Broad	medium		10.1038/s41467-023-42417-w			
HNRNPC	NASP_RESTRICTION	rna_restriction	RLR	Active	positive	Broad	high		10.15252/embj.201899017			
IQGAP1	NASP_RESTRICTION	induced_negative_regulator	cGAS-STING	Active	positive	Broad	high		10.4049/jimmunol.1601370			
MARCHF8	NASP_RESTRICTION	induced_negative_regulator	cGAS-STING	Active	positive	Immune-enriched	medium		10.1126/scisignal.abk3067			
MECP2	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Early	positive	Broad	high		10.1038/s41467-025-65713-z			
MFN1	NASP_RESTRICTION	mt_na_restraint	cGAS-STING	Early	positive	Broad	medium		10.1038/s41467-024-51363-0			
MORC2	NASP_RESTRICTION	te_silencing		Active	positive	Broad	low		10.1093/nar/gkae1165			
MOV10	NASP_RESTRICTION	te_restriction_factor	Multi	Early	positive	Broad	low		10.1371/journal.pgen.1002941			
MPHOSPH8	NASP_RESTRICTION	te_silencing		Early	positive	Broad	high		10.1093/nar/gkae1165	MPP8		
NLRC3	NASP_RESTRICTION	sensing_checkpoint	cGAS-STING	Active	positive	Broad	low		10.1016/j.immuni.2014.01.010			
NSUN2	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Broad	low		10.1016/j.cmet.2023.07.009		glucose_sensor	
OTUD3	NASP_RESTRICTION	induced_negative_regulator	RLR	Active	positive	Broad	low		10.1016/j.molcel.2020.06.020			
PCBP2	NASP_RESTRICTION	induced_negative_regulator	cGAS-STING	Active	positive	Broad	high		10.1038/s41467-022-29266-9			
PINK1	NASP_RESTRICTION	mitophagy_restraint	cGAS-STING	Active	positive	Broad	medium		10.1111/acel.13622			
PLD3	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Broad	high		10.3389/fimmu.2021.629922			
PLD4	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Broad	medium		10.3389/fimmu.2021.629922			
PNPT1	NASP_RESTRICTION	mt_na_restraint	cGAS-STING	Early	positive	Broad	medium	MITOCHONDRIAL_NA_SENSING	10.1038/s41467-024-51363-0			
PPHLN1	NASP_RESTRICTION	te_silencing		Early	positive	Broad	high		10.1093/nar/gkae1165	Periphilin-1		
PRKN	NASP_RESTRICTION	mitophagy_restraint	cGAS-STING	Active	positive	Broad	high		10.1083/jcb.200809125			
PRKRA	NASP_RESTRICTION	induced_negative_regulator	PKR	Early	positive	Broad	medium		10.1038/s41467-025-58433-x	PACT		
PRMT1	NASP_RESTRICTION	induced_negative_regulator	cGAS-STING	Active	positive	Broad	high		10.1038/s41467-023-38443-3			
PRMT5	NASP_RESTRICTION	induced_negative_regulator	cGAS-STING	Active	positive	Broad	low		10.1126/sciadv.abc1834			
RIOK3	NASP_RESTRICTION	induced_negative_regulator	RLR	Active	positive	Broad	high		10.1016/j.celrep.2015.03.027			
RNASEH2A	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Broad	low		10.1038/s41467-022-30604-0			
RNASEH2B	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Broad	high		10.1038/s41467-022-30604-0			
RNASEH2C	NASP_RESTRICTION	dna_restriction	cGAS-STING	Active	positive	Broad	medium		10.1038/s41467-022-30604-0			
SAMHD1	NASP_RESTRICTION	dna_restriction	cGAS-STING	Early	positive	Broad	high		10.1016/j.celrep.2016.07.002			
SDCBP	NASP_RESTRICTION	sensing_checkpoint	TLR	Active	positive	Broad	high		10.1038/s41586-019-1612-6			
SETDB1	NASP_RESTRICTION	te_silencing		Active	positive	Broad	low		10.1038/s41467-018-04132-9			
SIGLEC10	NASP_RESTRICTION	induced_negative_regulator	RLR	Active	positive	Immune-enriched	low		10.1093/glycob/cwu068			
SIRT6	NASP_RESTRICTION	te_silencing		Early	positive	Broad	low		10.1038/ncomms6011			
SKIV2L	NASP_RESTRICTION	rna_restriction		Early	positive	Broad	low		10.1038/ni.2948			
SUPV3L1	NASP_RESTRICTION	mt_na_restraint	RLR	Early	positive	Broad	low		10.1038/s41586-018-0363-0	SUV3		
TASOR	NASP_RESTRICTION	te_silencing		Early	positive	Broad	medium		10.1093/nar/gkae1165	FAM208A		
TFAM	NASP_RESTRICTION	mt_na_restraint	cGAS-STING	Early	positive	Broad	medium	AGING_HALLMARKS; MITOCHONDRIAL_NA_SENSING	10.1038/nature14156			
TNRC18	NASP_RESTRICTION	te_silencing		Early	positive	Broad	high		10.1038/s41586-023-06688-z			
TREX1	NASP_RESTRICTION	te_silencing	cGAS-STING	Early	positive	Broad	low		10.1038/s41586-018-0784-9			
TREX1	NASP_RESTRICTION	dna_restriction	cGAS-STING	Early	positive	Broad	low		10.1016/j.cell.2008.06.032			
TRIM28	NASP_RESTRICTION	te_silencing	Multi	Early	positive	Broad	medium		10.1038/nature08674	KAP1		
